file,asset,scale,width,height,bytes,kilobytes
02_derived/web/mark-crown@1x.webp,mark-crown,1,400,200,59254,57.9
02_derived/web/mark-crown@2x.webp,mark-crown,2,800,400,167144,163.2
02_derived/web/mark-foot@1x.webp,mark-foot,1,540,170,25272,24.7
02_derived/web/mark-foot@2x.webp,mark-foot,2,1080,340,71562,69.9
02_derived/web/corner-tl@1x.webp,corner-tl,1,280,280,49568,48.4
02_derived/web/corner-tl@2x.webp,corner-tl,2,560,560,142554,139.2
02_derived/web/corner-tr@1x.webp,corner-tr,1,280,280,49038,47.9
02_derived/web/corner-tr@2x.webp,corner-tr,2,560,560,139514,136.2
02_derived/web/corner-bl@1x.webp,corner-bl,1,280,280,37116,36.2
02_derived/web/corner-bl@2x.webp,corner-bl,2,560,560,104526,102.1
02_derived/web/corner-br@1x.webp,corner-br,1,280,280,36354,35.5
02_derived/web/corner-br@2x.webp,corner-br,2,560,560,105950,103.5
02_derived/web/edge-left@1x.webp,edge-left,1,85,205,6304,6.2
02_derived/web/edge-left@2x.webp,edge-left,2,170,410,19584,19.1
02_derived/web/edge-right@1x.webp,edge-right,1,85,205,6310,6.2
02_derived/web/edge-right@2x.webp,edge-right,2,170,410,19684,19.2
02_derived/web/edge-top@1x.webp,edge-top,1,180,105,22626,22.1
02_derived/web/edge-top@2x.webp,edge-top,2,360,210,65692,64.2
02_derived/web/edge-bottom@1x.webp,edge-bottom,1,189,90,1670,1.6
02_derived/web/edge-bottom@2x.webp,edge-bottom,2,378,180,3272,3.2
02_derived/web/frame-full@1x.webp,frame-full,1,600,900,140288,137.0
02_derived/web/frame-full@2x.webp,frame-full,2,1200,1800,439434,429.1
02_derived/web/divider-diamond-chain@1x.webp,divider-diamond-chain,1,130,38,832,0.8
02_derived/web/divider-diamond-chain@2x.webp,divider-diamond-chain,2,260,75,1848,1.8
02_derived/web/emblem-compass-cross@1x.webp,emblem-compass-cross,1,35,35,964,0.9
02_derived/web/emblem-compass-cross@2x.webp,emblem-compass-cross,2,70,70,1912,1.9
02_derived/web/figure-plinth@1x.webp,figure-plinth,1,285,712,58832,57.5
02_derived/web/figure-plinth@2x.webp,figure-plinth,2,570,1425,159102,155.4
02_derived/web/figure-crowned@1x.webp,figure-crowned,1,320,465,33430,32.6
02_derived/web/figure-crowned@2x.webp,figure-crowned,2,640,930,85202,83.2
02_derived/web/motif-ship@1x.webp,motif-ship,1,305,335,27566,26.9
02_derived/web/motif-ship@2x.webp,motif-ship,2,610,670,68708,67.1
02_derived/web/motif-winged@1x.webp,motif-winged,1,470,215,35342,34.5
02_derived/web/motif-winged@2x.webp,motif-winged,2,940,430,89282,87.2
02_derived/web/group-onlookers@1x.webp,group-onlookers,1,865,282,64466,63.0
02_derived/web/group-onlookers@2x.webp,group-onlookers,2,1730,565,154334,150.7
02_derived/web/texture-parchment@1x.webp,texture-parchment,1,235,50,1748,1.7
02_derived/web/texture-parchment@2x.webp,texture-parchment,2,470,100,4094,4.0
